,losso,knn,svm,ensemble
0,0,1,1,1
1,0,1,1,2
2,0,1,2,1
3,0,1,2,2
4,0,2,1,1
5,0,2,1,2
6,0,2,2,1
7,0,2,2,2
8,1,0,1,1
9,1,0,1,2
10,1,0,2,1
11,1,0,2,2
12,1,1,0,1
13,1,1,0,2
14,1,1,1,0
15,1,1,1,2
16,1,1,2,0
17,1,1,2,1
18,1,1,2,2
19,1,2,0,1
20,1,2,0,2
21,1,2,1,0
22,1,2,1,1
23,1,2,1,2
24,1,2,2,0
25,1,2,2,1
26,1,2,2,2
27,2,0,1,1
28,2,0,1,2
29,2,0,2,1
30,2,0,2,2
31,2,1,0,1
32,2,1,0,2
33,2,1,1,0
34,2,1,1,1
35,2,1,1,2
36,2,1,2,0
37,2,1,2,1
38,2,1,2,2
39,2,2,0,1
40,2,2,0,2
41,2,2,1,0
42,2,2,1,1
43,2,2,1,2
44,2,2,2,0
45,2,2,2,1
