,auto,statis,cnn,ensemble
0,0,1,1,1
1,0,1,1,2
2,0,1,1,3
3,0,1,2,1
4,0,1,2,2
5,0,1,2,3
6,0,1,3,3
7,0,2,1,1
8,0,2,1,2
9,0,2,1,3
10,0,2,2,1
11,0,2,2,3
12,0,2,3,3
13,1,0,1,1
14,1,0,1,2
15,1,0,1,3
16,1,0,2,1
17,1,0,2,2
18,1,0,2,3
19,1,0,3,3
20,1,1,0,1
21,1,1,0,2
22,1,1,0,3
23,1,1,1,0
24,1,1,1,1
25,1,1,1,2
26,1,1,1,3
27,1,1,2,0
28,1,1,2,1
29,1,1,2,2
30,1,1,2,3
31,1,1,3,3
32,1,2,0,1
33,1,2,0,2
34,1,2,0,3
35,1,2,1,0
36,1,2,1,1
37,1,2,1,2
38,1,2,1,3
39,1,2,2,0
40,1,2,2,1
41,1,2,2,3
42,1,2,3,3
43,2,0,1,1
44,2,0,1,2
45,2,0,1,3
46,2,0,2,1
47,2,0,2,3
48,2,0,3,3
49,2,1,0,1
50,2,1,0,2
51,2,1,0,3
52,2,1,1,0
53,2,1,1,1
54,2,1,1,2
55,2,1,1,3
56,2,1,2,0
57,2,1,2,1
58,2,1,2,3
59,2,1,3,3
60,2,2,0,1
61,2,2,0,3
62,2,2,1,0
63,2,2,1,1
64,2,2,1,3
65,2,2,3,3
66,3,0,3,3
67,3,1,3,3
68,3,2,3,3
